OBJECTID,CSA2010,sclemp10,sclemp11,sclemp12,sclemp13,sclemp14,sclemp15,sclemp16,sclemp17,sclemp18,sclemp19,CSA2020,sclemp20,Shape__Area,Shape__Length
1,Allendale/Irvington/S. Hilton,82.1100917431193,79.8907103825137,70.9876543209877,79.0971540726202,77.6574803149606,96.1155378486056,80.7034220532319,89.0120036934441,89.2508143322475,91.84914842,Allendale/Irvington/S. Hilton,88.4907709,63770461.7796021,38770.1655712393
2,Beechfield/Ten Hills/West Hills,76.6698024459078,82.8054298642534,81.1151079136691,76.4069264069264,74.6882793017456,66.5441176470588,71.5920915712799,72.5419664268585,66.8021680216802,65.40697674,Beechfield/Ten Hills/West Hills,91.12676056,47882527.7110596,37524.9505334171
3,Belair-Edison,79.6244131455399,78.75,78.5492227979275,80.2752293577982,84.5986984815618,87.168610816543,93.7275985663082,92.7824267782426,81.9730941704035,79.33261572,Belair-Edison,81.02272727,44950030.4716797,31307.3148434597
4,Brooklyn/Curtis Bay/Hawkins Point,87.3345935727788,87.4074074074074,91.8625678119349,85.3989813242784,87.43961352657,74.2610837438424,76.5347885402456,70.9366391184573,66.3157894736842,59.3442623,Brooklyn/Curtis Bay/Hawkins Point,62.61127596,176077742.748718,150987.703638771
5,Canton,92.0289855072464,91.6666666666667,92.1052631578947,100,100,100,100,100,100,100,Canton,100,15408538.2247314,23338.6119476477
6,Cedonia/Frankford,91.2648497554158,91.8552036199095,90.176322418136,94.023569023569,92.9044465468306,76.5263157894737,90.9957627118644,90.2557856272838,89.2817679558011,90.34907598,Cedonia/Frankford,91.77800617,71541340.3063965,39962.5498347166
7,Cherry Hill,85.5072463768116,85.2819807427785,86.2121212121212,83.7795275590551,85.8050847457627,70.8074534161491,74.7572815533981,80.4222648752399,84.0197693574958,81.92771084,Cherry Hill,72.51114413,29144181.3516235,22305.3020666822
8,Chinquapin Park/Belvedere,81.5489749430524,84.1379310344828,82.3248407643312,95.0323974082073,83.7037037037037,76.1273209549072,86.1892583120205,80.7692307692307,74.9152542372881,95.75289575,Chinquapin Park/Belvedere,100,21022590.1307373,21705.411630344
9,Claremont/Armistead,87.041564792176,83.289817232376,84.4155844155844,81.038374717833,89.2561983471074,59.9562363238512,68.8995215311005,68.3760683760683,76.7195767195767,78.78787879,Orchard Ridge/Armistead,91.85750636,61243774.4211426,40104.415980189
10,Clifton-Berea,84.5295055821372,81.9148936170213,82.4961948249619,74.2971887550201,69.9095022624434,75.3623188405797,78.5330948121646,79.3950850661625,77.4,79.90196078,Clifton-Berea,80.9623431,23285233.9251099,24022.7646207842
11,Cross-Country/Cheswolde,95.6217162872154,98.6964618249534,99.1830065359477,99.1789819376026,96.7407407407407,95.7276368491322,98.0603448275862,98.3713355048859,97.752808988764,100,Cross-Country/Cheswolde,97.731569,38222018.3164673,26788.3018783839
12,Dickeyville/Franklintown,100,100,100,92.0634920634921,89.922480620155,88.5496183206107,83.1460674157303,85.0574712643678,100,78.94736842,Dickeyville/Franklintown,55.55555556,35719112.4142456,31637.8174237991
13,Dorchester/Ashburton,73.0639730639731,74.5679012345679,92.0863309352518,90.5594405594406,95.7446808510638,95.1030927835051,95.9915611814346,98.1818181818181,98.6696230598669,100,Dorchester/Ashburton,100,34118277.1812134,27136.0757115219
